Product_Name,Product_Price,Item_Number,Model_Number,Product_Category,Product_Description
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Blue paper stock folders for general or color-coded filing"",""Features poly-reinforced top edge and bottom fold provide added durability and built-in tension springs"",""Five tab positions allow you to customize your files""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Colored reinforced hanging file folders with polylaminate reinforced wear points, letter size, printer-ready inserts and 1/5 cut plastic tabs. Acid-free."",""Reinforced hanging file folders in dispenser box include printer-ready inserts for tabs."",""Package Includes: 25 plastic index tabs and blank inserts""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Standard 11 pt. yellow paper stock"",""1/5-cut"",""Holds up to 150 sheets of paper""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Durable paper stock folders in assorted bright colors hold up to wear and tear"",""Five tab positions allow you to customize your files"",""Accommodates letter-size papers and files""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Folders are made of green paper stock"",""Poly-reinforced top edge and bottom fold provide added durability"",""Five tab positions allow you to customize your files""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Black paper stock folders hold up to wear and tear"",""Five tab positions allow you to customize your files"",""Accommodates letter-size papers and files""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Vivid hanging file folders make color coding a snap."",""Package includes color-matched PVC-free tabs and blank white inserts."",""Acid-free""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Hanging file folder is made of white 11 pt. paper stock"",""Features built-in 1/3-cut assorted top reinforced tabs; no assembly required"",""Letter-size folder measuring 9.25""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""Durable poly folders in bright pink, green, blue, and orange"",""Five tab positions allow you to customize your files"",""Accommodates letter-size papers and files""]"
"Pendaflex SureHook Reinforced Hanging File Folders, 5-Tab, Letter Size, Blue, 20/Box (PFX 6152 1/5 BLU)",$25.99,Item # 901-72948,Model # 6152 1/5 BLU,Hanging File Folders,"[""2"",""Letter size"",""FasTab box bottom hanging folders have built-in reinforced tabs permanently attached to the folder""]"
